CERTIFICATIONID,DESCRIPTION,JUSTICE
"102,037",Crozer Chester Foundation/youth Council Collaborative,"6,000"
"101,998","Phelps County Schools (DARE, Red Ribbon Week, etc)","6,250"
"101,989",Integrated Youth Services,"7,900"
"101,989",KIDS Identification Program,"3,566"
"101,989",Yellow Springs High School,"1,956"
"101,968",Clayton Neighborhood Watch,500
"101,968",Elk Township Neighborhood Watch,500
"101,968",Paulsboro Neighborhood Watch,500
"101,958",Finger Lakes Addiction Program ,182
"101,936",Craighead County Drug Court,690
"101,922","Greater Shiloh Church - Summer Basketball League, Co-ed ages 11-13",679
"101,889",Child Abuse Prevention Services,"20,000"
"101,889",Cleary School for the Deaf,"9,300"
"101,889",Council For Unity,"24,638"
"101,889",Hope House Ministries,"20,710"
"101,889",Lighthouse Mission,"10,000"
"101,889",Mothers Against Drunk Driving,"19,720"
"101,889",Parents for Megans Law,"13,840"
"101,889",Suffolk County Comptroller,"4,490"
"101,889",Suffolk County Police Athletic League,"5,142"
"101,845",Crime Prevention and Neighborhood Watch Programs,"60,579"
"101,837","Mesa County- This was for a  Senior Citizen Survey to determine the manner in which they receive information.","13,766"
"101,837",Partners- This sponsored the Western Colorado Addictions and Behavior Health Conference,"5,000"
"101,837","School District - $2,700 was to pay for a grant writer to write a $6 million Safe Schools Healthy Schools Grant.  $2,000 was to sponsor a Gang Related Symposium targeted at young Latinos.","4,700"
"101,820","MADISON COUNTY SCHOOL BOARD, D.A.R.E. PROGRAM","1,335"
"101,818",Weed & Seed,"6,425"
"101,811",2008 Assessment to support Crime Stoppers of Puget Sound,"2,468"
"101,807",Safe and Sober Prom Night Supporting Nixa and Ozark Schools,"1,000"
"101,770",Glenwood Springs High School,500
"101,770",Rifle High School-Project Graduation & After Prom/Drug Free Events,"1,000"
"101,711","Boys and Girls Club of Rochester, Inc.","22,425"
"101,706",Drug Education and awareness,"2,569"
"101,620",Drug awareness and education ,"4,912"
"101,611",D.A.R.E.,"3,802"
"101,589",Lakeside Center,"10,000"
"101,578","D.A.R.E.($102,833.00) and HC Urban League ($5,000.00)","107,833"
"101,489",Lake County Family YMCA Strong Kids Campaign,"1,000"
"101,489",Lotus Elementary School,250
"101,489",Miguel Juarez School,250
"101,489",South-side Positive Youth,300
"101,489",Stanton School,250
"101,478",Abba Leadership Center,"10,000"
"101,478",EOC Nassau County,"4,916"
"101,478",Farmingdale Citizens for Viable Solutions,"1,981"
"101,478",Madd - LI,"1,030"
"101,478",Molloy College,"24,499"
"101,478",Salvation Army,"4,406"
"101,478",Westbury Community improvements Corp.,"6,997"
"101,453",Citizens Acadamy,"3,768"
"101,453",DARE,994
"101,453",Sheriff's Bike Rodeo,18
"101,453",Sheriff's Santa,124
"101,439",Drug awareness education for third grade students in Warren County,747
"101,404",NEORVA Fund Raiser for Camp Waban (Drug Education Presentation),500
"101,403",Olivet Boys and Girls,"10,000"
"101,316",Drug Free Rogers/Lowell,"1,000"
"101,310",East Cleveland Police Athletic League (P.A.L.),"13,190"
"101,268",Accept none,0
"101,268",Accept none,0
"101,217",DARE ,997
"101,100",Megan's Law,"1,995"
"101,066", Not applicable,0
"101,029",Harford County Task Force Scholarship Awards,"5,500"
"100,995",Lake County Peers Learning Usable Skills (PLUS) Drug Education Program,"7,266"
"100,945",St. Louis Regional Crime Stoppers,"2,000"
"100,933",Character Counts,"1,500"
"100,911",DARE Program,"34,198"
"100,909","Macon Regional CrimeStoppers",250
"100,866",Public Service Videos - Internet Safety & Teen Driving,"10,000"
"100,720",Crime Prevention - Police Athletic League,"3,253"
"100,693",Do the Right Thing Back to School Event,54
"100,612",Nacogdoches safe drug Free,150
"100,598",Joshua Marcus Group,325
"100,484",Not Applicable,0
"100,460",Too Good For Drugs - School based program,810
"100,429",Positive Promotions - Crime Prevention Materials,"1,220"
"100,350",FRANKLIN COUNTY MANAGER,543
"100,307",-,0
"100,277","N/A",0
"100,192",Not Applicable,0
"100,181",Not Applicable,0
"100,106",Not applicable,0
"100,099",Bell Grove Missionary Baptist Church ,462
"100,099",Partners in Learning / Cross-Cultural Connections  ,"3,892"
"100,099",Syracuse Stage - Educational Outreach Program,"5,000"
"100,092",North Texas Crime Commission,282
"100,092",Tarrant County Youth Collaboration Program,"13,670"
"100,085","West Palm Beach Housing Authority for Dunbar community policing Initiative $20,000. Police Athletic Leaque computers for after school program. $4,867.73","24,868"
"100,045",                                   ********** Not Applicable **********,
"100,033",Community West Side Story Project/Sex Abuse Education,"12,187"
"100,026",Not Applicable,0
"100,021","         Drug Awareness Day, Citizens Police Academies","13,291"
"99,996",Boys & Girls Club,216
"99,937",None from Federal Asset Forfeiture Fund (only expenditure was from State AF Fund),0
"99,901",Arthur Area Association of  Commerce - Stay in School/Stay Off Drugs,500
"99,821",Freedom Against Drugs,"2,250"
"99,751",Southern Illinois Methamphetamine and other Drug Conference,500
"99,725","Baker County School System programs (cost of supplies, etc) DARE & SRO & JUST SAY NO","3,655"
"99,718",Cameron County Juvenile Justice Department (DEFY Camp),"3,440"
"99,704",Refer to Original Report,"14,458"
"99,667", N/A,0
"99,656",UMOJA,348
"99,655",UMOJA,"3,652"
"99,628",Boca Raton Police Explorers,"5,000"
"99,622",DARE/Community Outreach,550
"99,594",Drug Free Campaign (red ribbon week),"4,139"
"99,591",Drug Free Campaign,"31,354"
"99,543",Boy Scouts,"1,500"
"99,543",Golden Triangle YMCA (Scholarship),"2,000"
"99,543",Kiwanis of Mt Dora,500
"99,543",Kiwanis of South Lake,375
"99,543",Miss Leesburg Scholarship,300
"99,543",South Lake Educational Foundation,700
"99,543",Special Olympics,400
"99,543",Sunrise Arc,400
"99,543",United Way of Lake County,100
"99,541",Minuteman Youth Camp,"7,983"
"99,536",Walton County Sheriff's Office Crime Prevention Program,"13,367"
"99,509","3199 Other Professional Services - The  Starting Place Inc - A referral outreach program for youth intervention, counseling and referral. ","9,167"
"99,497",Glades County School District,"18,299"
"99,490",DARE,"2,520"
"99,485",City of Greenfield/Monterey County District Attorney,"3,404"
"99,453",  N/A,0
"99,451",Okaloosa Walton College,"37,281"
"99,432",120 Precinct Community Council,"10,000"
"99,432",120 Precinct Community Council ,500
"99,432",122 Precinct Community Council ,"1,000"
"99,432",123 Precinct Community Council,894
"99,432",123 Precinct Community Council ,500
"99,432",Camelot Counseling Centers ,"5,000"
"99,432",Catholic Charities Community Services,"50,000"
"99,432",Catholic Charities Community Services ,"2,000"
"99,432",Child Abuse Prevention Program ,"22,000"
"99,432",Children's Aid Society ,"10,000"
"99,432",Jewish Community Center ,"1,000"
"99,432",NY Center for Interpersonal Development ,"31,995"
"99,432",New Springville Little League ,"5,000"
"99,432",Project Hospitality,"15,000"
"99,432",SI Employment Education Consortium,"7,500"
"99,432",Seamen's Society for Children,"20,000"
"99,432",Staten Island Boy Scouts of America,"10,000"
"99,432",Staten Island Children's Campaign,"25,000"
"99,432",Staten Island Mental Health Society,"7,500"
"99,432",Staten Island Yankees,500
"99,432",United Activities Unlimited,"25,000"
"99,432",Unity Games Inc.,"9,000"
"99,432",Where To Turn,"10,000"
"99,413",Target - gun buy back gift cards,"2,500"
"99,413",Wal-Mart - gun buy back gift cards,"6,250"
"99,396", N/A,0
"99,361","PACE Center for GirlsWilton Manors Elementary SchoolWilton Manors Friends of the LibraryGay and Lesbian Community Center of South Florida","2,384"
"99,359",Cops N Kids Youth Center (Partnership with YMCA),"42,102"
"99,326","Bicycle Rodeo, Family Safety Day and National Night Out","2,533"
"99,326",Bicycle and Hitch for Community Policing Officer,"1,224"
"99,326",Community Electronic Message Board and Trailer,"12,080"
"99,326",Community Policing Vehicle and Uniforms,"25,964"
"99,326",DARE Graduation and Red Ribbon Day,"4,165"
"99,326",Florida Missing Children's Day,500
"99,326","Hurricane Workshop, LEO's Kids Project Iraq, Telecommunications Week","2,268"
"99,326",North Bay Village PAAL Cellphones,"1,312"
"99,300",Blossom's Community Camp,"1,000"
"99,300","Greene County Festival Hall, Inc.","5,000"
"99,300",Greene County Recreation Department ,"1,752"
"99,281", None,0
"99,269","Police Athletic League, Imperial Valley Ministries, Drug Awareness Programs","11,480"
"99,257",Monroe County Board of County Commissioners,"33,485"
"99,242",MEETING ROOM & SUPPLIES FOR DRUG DEMAND REDUCTION EVENT,113
"99,238",Explorers Program,465
"99,238",Pensacola Police Safety Programs-Public Service Announcements on Safety,"2,637"
"99,236","Ben Roberts Care Center, Inc., 307 SW 5th St., Chiefland, FL 32626","2,000"
"99,236","The Oasis Center of Williston, P. O. Box 284, Williston, FL 32696","2,500"
"99,232",Black on Black Crime Task Force,"1,600"
"99,201",Farmers Branch Chamber of Commerce (Red Ribbon Week),400
"99,198",Deputies & Children Basketball Program - Kenny Sporting Equip.,"3,115"
"99,198",Keep-It-Straight USA Project Drug & Alcohol Prevention,"5,000"
"99,198",PAL Athletic Sports Equipment,"10,000"
"99,198",Sheriff Office Teen Driver Challenge - T-Shirts by Joni Industries,"1,475"
"99,196",MSP Detroit MYLA & Community Group,"17,500"
"99,191",drug education & awaresness,301
"99,156",   None,0
"99,146",City of Margate- National Night Out,"17,547"
"99,142",     N/A,0
"99,137",DFYIT - Drug Free Youth In Town,"20,000"
"99,126",Not Applicable,0
"99,120",                          N/A,0
"99,074",FSA donation,"2,500"
"99,074",Gas for Guns,"7,400"
"99,065","Iditarod Trail Advertising, Embroidery, Communication Supplies","31,431"
"99,041",NATIONAL NEIGHBORHOOD  CO-OP (BOOKS AND LITERTURE),139
"99,039","Police Athletic League : Reimbursement to the PAL Program for items purchased including, uniforms, trophies, and referee services.  All amounts are supported by a signed itemized receipt.","6,888"
"99,036",Child Advocacy Center,"10,000"
"99,036",Youth Council,"10,000"
"98,996",DARE Program,"1,500"
"98,938",Boys & Girls Club of New Bedford,714
"98,938",Positive Action Against Chemical Addiction (PAACA),"1,500"
"98,933",Boys and Girls Club - Drug and Crime Prevention Programs,"6,000"
"98,933",Broward Homeless / Entrepreneurial Center - Job Skills - Crime/Drug Prevention,"7,500"
"98,933",City - Crime Prevention Awareness Day Event,"1,500"
"98,933",City Athletics Program - Crime prevention,"11,000"
"98,933",Oscar Thomas Literacy Program - Job Skills - Crime Prevention,"6,000"
"98,933",Y.M.C.A. - Drug and Crime Prevention Programs,"5,000"
"98,911",Boy And Girls Club of Franklin County,"30,000"
"98,890",Sheriff Activities League,"2,500"
"98,872",DNA,0
"98,788",Crime Stoppers,"1,000"
"98,788",DBLS Swim Program,"1,000"
"98,788",MADD,500
"98,788",PAL,500
"98,734",KID PRINT IDENTIFICATION PROGRAM (JUVENILE),"8,810"
"98,690",Beat the Heat,"16,000"
"98,651",Police Bureai Sunshine Division Community Program,"5,490"
"98,649",00,0
"98,629",Public Service Announcements Media,"22,690"
"98,629",Skills USA Community Education for Crime Prevention ,"86,450"
"98,611",SHELBY COUNTY SCHOOLS,"5,500"
"98,552",DRUG EDUCATION PROGRAM,204
"98,528","Talladega County Schools for Teaching on Drug Awareness & Violent Crimes","2,628"
"98,507",Childhelp Tennessee,"1,000"
"98,486",River Rouge High School,357
"98,357",Leadership Shelby County (Lamar Advertising),"2,500"
"98,350","Middle/High School Students and Parents:  Internet Safety Brochure, Youth Suicide Prevention Brochure, Risky Teen Sexual Behavior/Statutory Rape Brochure; Safe Prom Grants to 21 Norfolk County communities; Family Violence Prevention Grant to 1 Norfolk County community; Summer Camp Grants to 2 communities.","12,934"
"98,343",Education Materials,"2,500"
"98,203",Aiea High School Student Teacher Parent Council,568
"98,203",Armed Services Special Education and Training Society (for Assets School),324
"98,203",Family and Friends of Castle,"1,000"
"98,203",Friends of Kailua High School,"1,000"
"98,203",Friends of Kaiser Parent Teacher Student Association,"1,000"
"98,203",Hanalani School,"1,000"
"98,203",Kaimuki High School Foundation,"1,000"
"98,203",Kalaheo High School Parent Teacher Student Association,"1,000"
"98,203",Kalani High School Association,"1,000"
"98,203",Kapolei High School Parent Teacher Association,"1,000"
"98,203",Le Jardin d'Enfants,495
"98,203",Lutheran High School of Hawaii,607
"98,203",Maryknoll School,"1,000"
"98,203",McKinley High School Parent Teacher Student Association,"1,000"
"98,203",Mid Pacific Institute,"1,000"
"98,203","Mililani High School SPADA, Inc.","1,000"
"98,203",Moanalua High School Parent Teacher Student Association,"1,000"
"98,203",Punahou School,"1,000"
"98,203",Sacred Hearts Academy,"1,000"
"98,203",St. Francis High School,"1,000"
"98,203",The Roosevelt Alumni Association,"2,000"
"98,203","University of Hawaii School Booster Club, Inc.","1,000"
"98,203","Wahiawa Lions Club, Inc. (for Leilehua High School)","1,000"
"98,203","Waialua Community Assocation, Inc.","1,299"
"98,203",Word of Life Christian Center,"1,000"
"98,200",N / A,0
"98,167",ACVS (Arizona Coalition for Victim Services) ,"5,035"
"98,167",Anytown Arizona ,"10,000"
"98,167",Fax Net 1 ,"10,000"
"98,167",Partnership for a Drug-Free Arizona  ,"10,000"
"98,102",National Association of Town Watch National Night Out,"8,572"
"98,027",Loudon County Child Advocacy Center,"1,550"
"98,021",Mortimer Jordan High School ,"1,962"
"97,928","Block-Watch Groups, Crime Prevention Programs, & DARE expenses","16,625"
"97,877","DARE, GREAT, fee for car in community auto show, Halloween safety ad","3,663"
"97,743",Description Not Entered,220
"97,733",LANCASTER COUNTY CHILD ADVOCACY CENTER,"17,132"
"97,605",Drug Education and Awareness Program,"1,543"
"97,573",NATW,208
"97,539",0,0
"97,468",                                                                     N/A,0
"97,466","Coalition of Neighborhood Council - Program support for non-profit organization serving at-risk youths by providing educational , job readiness training and counseling.  The purchasing of computer hardware & software, 2006 Ford Wagon Vehicle, lease of facility and costs of youth uniforms.","44,348"
"97,462","National Neighborhood WatchGetting Arizona Involved in Neighborhoods","1,629"
"97,444",Community Foundation of Western Nevada - Trauma Intervention Program,"15,000"
"97,435",D.A.R.E. Community Halloween Party,"2,174"
"97,417",Better Family Life-#740,"47,116"
"97,417",Do the Right Thing-#744,"5,000"
"97,417",St. Louis Regional Crime Stoppers-#715,"30,000"
"97,417",Weed & Seed -6/1/06 to 5/31/07-#721,"11,059"
